quaternion (w),quaternion (x),quaternion (y),quaternion (z),gyroscope bias (x),gyroscope bias (y),gyroscope bias (z),magnetometer bias (x),magnetometer bias (y),magnetometer bias (z),time
0.70710677,0.00010426559,9.9691795e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.94
0.9999999782897406,0.00016095324753662125,0.00013224360050430534,-5.118649306437419e-06,0.0,0.0,0.0,0.0,0.0,0.0,35.94
0.9259471925594531,-0.04089533772466218,-0.03947426992282254,-0.3733512420733499,-2.5775120186912277e-06,-2.513203603906843e-06,-9.198582127003991e-08,-6.811423113678129e-07,-1.197227067624544e-07,8.731071822690235e-08,36.94
0.9259519035834615,-0.04090938736299643,-0.03938304916797589,-0.37334765261613856,-2.5775120186912277e-06,-2.513203603906843e-06,-9.198582127003991e-08,-6.811423113678129e-07,-1.197227067624544e-07,8.731071822690235e-08,36.94
0.5935673640964506,-0.06810490353188511,-0.05674611509585964,-0.7998871075445781,-1.3158873009210382e-05,-1.5571071955748848e-05,-1.1811564720856446e-06,-2.0230272684582247e-06,-1.3783252479265463e-06,2.9099207264908366e-07,37.94
0.5935336496409156,-0.06809116204679007,-0.05682769005025355,-0.7999075034268679,-1.3158873009210382e-05,-1.5571071955748848e-05,-1.1811564720856446e-06,-2.0230272684582247e-06,-1.3783252479265463e-06,2.9099207264908366e-07,37.94
0.19361391908803482,-0.07410270792282804,-0.05112727776040862,-0.9769382992199077,-3.974477185250063e-05,-6.11571242440498e-05,-5.1933566612451164e-06,-3.3340283795437133e-06,-4.800176777737074e-06,5.693066338224703e-07,38.94
0.19361223018408252,-0.07403708600264794,-0.05114421624589602,-0.9769427226628874,-3.974477185250063e-05,-6.11571242440498e-05,-5.1933566612451164e-06,-3.3340283795437133e-06,-4.800176777737074e-06,5.693066338224703e-07,38.94
-0.06576515198593097,-0.07295544272813738,-0.042797077950094874,-0.9942438625807766,-6.921294931413471e-05,-0.000137860534932645,-1.0918793765142417e-05,-3.7962240350425696e-06,-9.225422187862236e-06,7.923500112435485e-07,39.94
-0.06567667197337591,-0.07296945062059547,-0.04272554341985679,-0.9942517598546698,-6.921294931413471e-05,-0.000137860534932645,-1.0918793765142417e-05,-3.7962240350425696e-06,-9.225422187862236e-06,7.923500112435485e-07,39.94
-0.21255486395371695,-0.0721613348818584,-0.03694924043433017,-0.9737802242749702,-9.159232323123109e-05,-0.0002367591123790535,-1.707095397856942e-05,-3.6087641568445288e-06,-1.3791916150154536e-05,9.498508721497516e-07,40.94
-0.2125328711953394,-0.07211607909131057,-0.03698103078189435,-0.9737871703613011,-9.159232323123109e-05,-0.0002367591123790535,-1.707095397856942e-05,-3.6087641568445288e-06,-1.3791916150154536e-05,9.498508721497516e-07,40.94
-0.295246267704334,-0.07209462276005248,-0.032855416125762406,-0.9521305206782049,-0.00010392054342920536,-0.0003576407855617161,-2.3393397229419203e-05,-3.045393709691664e-06,-1.836713936886038e-05,1.0633304620634432e-06,41.94
-0.29528488775737377,-0.07213286514882879,-0.032903875556489125,-0.9521139741653302,-0.00010392054342920536,-0.0003576407855617161,-2.3393397229419203e-05,-3.045393709691664e-06,-1.836713936886038e-05,1.0633304620634432e-06,41.94
-0.34144032558572956,-0.0724838142548445,-0.029839228059415916,-0.9366291802008938,-0.00010440179657586045,-0.0005012143765789369,-2.9757670413121237e-05,-2.2726179831665468e-06,-2.2939982303008857e-05,1.146798192702428e-06,42.94
-0.3414674687570115,-0.07243726017266391,-0.029881189901129594,-0.9366215487642006,-0.00010440179657586045,-0.0005012143765789369,-2.9757670413121237e-05,-2.2726179831665468e-06,-2.2939982303008857e-05,1.146798192702428e-06,42.94
-0.3669768956025626,-0.0728802871798812,-0.02751664027346001,-0.9269623812984781,-9.171172677653312e-05,-0.0006668800379510752,-3.600143738212214e-05,-1.386693385167204e-06,-2.750171864869944e-05,1.2099971384621366e-06,43.94
